,team,team_code,url
1,Arizona Cardinals,ARI,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png
2,Atlanta Falcons,ATL,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/180px-Atlanta_Falcons_logo.svg.png
3,Baltimore Ravens,BAL,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/180px-Baltimore_Ravens_logo.svg.png
4,Buffalo Bills,BUF,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/180px-Buffalo_Bills_logo.svg.png
5,Carolina Panthers,CAR,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/180px-Carolina_Panthers_logo.svg.png
6,Chicago Bears,CHI,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/180px-Chicago_Bears_logo.svg.png
7,Cincinnati Bengals,CIN,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/180px-Cincinnati_Bengals_logo.svg.png
8,Cleveland Browns,CLE,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/180px-Cleveland_Browns_logo.svg.png
9,Dallas Cowboys,DAL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/180px-Dallas_Cowboys.svg.png
10,Denver Broncos,DEN,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/180px-Denver_Broncos_logo.svg.png
11,Detroit Lions,DET,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/180px-Detroit_Lions_logo.svg.png
12,Green Bay Packers,GNB,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/180px-Green_Bay_Packers_logo.svg.png
13,Houston Texans,HOU,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/180px-Houston_Texans_logo.svg.png
14,Indianapolis Colts,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/180px-Indianapolis_Colts_logo.svg.png
15,Jacksonville Jaguars,JAX,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/180px-Jacksonville_Jaguars_logo.svg.png
16,Kansas City Chiefs,KAN,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/180px-Kansas_City_Chiefs_logo.svg.png
17,Los Angeles Chargers,LAC,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/180px-NFL_Chargers_logo.svg.png
18,Los Angeles Rams,LAR,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/180px-Los_Angeles_Rams_logo.svg.png
19,Miami Dolphins,MIA,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/180px-Miami_Dolphins_logo.svg.png
20,Minnesota Vikings,MIN,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/180px-Minnesota_Vikings_logo.svg.png
21,New England Patriots,NWE,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/180px-New_England_Patriots_logo.svg.png
22,New Orleans Saints,NOR,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/180px-New_Orleans_Saints_logo.svg.png
23,New York Giants,NYG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/180px-New_York_Giants_logo.svg.png
24,New York Jets,NYJ,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/180px-New_York_Jets_logo.svg.png
25,Las Vegas Raiders,LVR,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/180px-Las_Vegas_Raiders_logo.svg.png
26,Philadelphia Eagles,PHI,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/180px-Philadelphia_Eagles_logo.svg.png
27,Pittsburgh Steelers,PIT,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/180px-Pittsburgh_Steelers_logo.svg.png
28,San Francisco 49ers,SFO,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/180px-San_Francisco_49ers_logo.svg.png
29,Seattle Seahawks,SEA,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/180px-Seattle_Seahawks_logo.svg.png
30,Tampa Bay Buccaneers,TAM,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/180px-Tampa_Bay_Buccaneers_logo.svg.png
31,Tennessee Titans,TEN,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/180px-Tennessee_Titans_logo.svg.png
32,Washington Redskins,WAS,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/180px-Washington_football_team_wlogo.svg.png
